year,state,west,midwest,northeast,southeast,southwest,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm,Cost,Avg_Tmp,Min_Tmp,Max_Tmp,Precip,Avg_Elevation,Unemployment,Population,Size,GDP,Inflation_Rate,Personal Income
1981,SC,0,0,0,1,0,0,0,0,0,0,0,0,0,61.3,49.1,73.5,44.71,#N/A,8.15,3179255,32020,31048,0.1033,27359
1981,SD,0,1,0,0,0,0,0,0,0,0,0,0,0,45.8,33,58.6,18.01,200,4.808333333,689584,77121,7661,0.1033,6489
1981,TN,0,0,0,0,1,0,0,0,0,0,0,0,0,56.7,45.2,68.2,52.08,350,8.9,4627658,42144,50265,0.1033,#N/A
1981,TX,0,0,0,0,1,0,0,0,1,0,0,0,1000,65,52.9,77.1,31.99,2200,5.35,14746318,268580,245235,0.1033,166934
1981,UT,1,0,0,0,0,0,0,0,0,0,0,0,0,49.5,36.9,62,16.26,900,6.65,1515471,84898,17320,0.1033,14164
1981,VA,0,0,0,0,1,0,0,0,0,0,0,0,0,53.6,42.3,64.9,39.56,1700,5.941666667,5444097,42774,66179,0.1033,61121
1981,VI,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6100,#N/A,#N/A,#N/A,#N/A,0.1033,#N/A
1981,VT,0,0,1,0,0,0,0,0,0,0,0,0,0,42.2,31.8,52.6,49.73,950,5.85,515594,9615,5436,0.1033,4975
1981,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,46.6,36.9,56.3,49.2,#N/A,9.325,4235731,71300,58918,0.1033,50125
1981,WI,0,1,0,0,0,0,0,0,0,0,0,0,0,42.5,32,53,32.69,1000,7.816666667,4726343,65498,57494,0.1033,51862
1981,WV,0,0,0,0,1,0,0,0,0,0,0,0,#N/A,50.1,38.8,61.4,44.25,1700,10.59166667,1954124,24230,19837,0.1033,17132
1981,WY,1,0,0,0,0,0,0,0,0,0,0,0,0,42.8,29.9,55.8,16.72,1050,4.15,491712,97813,12703,0.1033,6297
1982,AK,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1500,10.05833333,449606,663267,23461,0.0613,8461
1982,AL,0,0,0,1,0,0,0,0,1,0,0,1,100,63.3,52,74.6,58.97,6700,13.95,3925266,52419,41778,0.0613,35925
1982,AR,0,0,0,1,0,0,0,0,1,0,0,1,250,60.2,49.6,70.8,53.08,1900,9.466666667,2294257,53179,23527,0.0613,20525
1982,AZ,0,0,0,0,1,0,0,0,0,0,0,0,0,58.9,45.5,72.2,16.18,500,9.958333333,2889861,113998,35794,0.0613,31447
1982,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,56.7,45.1,68.2,33.68,650,10.05833333,24820009,163695,393788,0.0613,34106
1982,CO,1,0,0,0,0,0,0,0,1,0,0,0,250,44.4,31.3,57.5,19.09,4100,7.608333333,3061564,104093,47654,0.0613,39505
1982,CT,0,0,1,0,0,0,0,0,1,0,0,1,100,48.7,38.2,59.1,47.34,2900,6.858333333,3139013,5544,50196,0.0613,46612
1982,DC,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6800,#N/A,634174,#N/A,#N/A,0.0613,#N/A
1982,DE,0,0,1,0,0,0,0,0,0,0,0,1,100,54.6,44.7,64.6,38.31,500,8.358333333,599148,2489,9498,0.0613,7599
1982,FL,0,0,0,1,0,0,0,0,0,0,0,1,100,71.3,61.1,81.5,62.59,#N/A,8.483333333,10471407,65755,122282,0.0613,122327
1982,GA,0,0,0,1,0,0,0,0,0,0,0,1,100,63.8,52.8,74.9,52.75,60,7.8,5649792,59425,68451,0.0613,56728
1982,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,100,6.116666667,993780,10931,15740,0.0613,12700
1982,IA,0,1,0,0,0,0,0,0,2,0,0,1,250,47.4,37.7,57.2,40.36,600,8.4,2888189,56271,37289,0.0613,32452
1982,ID,1,0,0,0,0,0,0,0,0,0,0,0,0,41.7,30.9,52.4,29.4,3030,9.883333333,973721,83570,10689,0.0613,9368
1982,IL,0,1,0,0,0,0,0,0,2,0,0,1,1000,51.7,41.9,61.4,43.04,1100,11.4,11423412,57914,164267,0.0613,146999
1982,IN,0,1,0,0,0,0,0,0,2,0,0,1,500,51.6,41.6,61.6,40.67,5000,11.98333333,5467922,36418,64982,0.0613,58359
1982,KS,0,1,0,0,0,0,0,0,2,0,0,1,500,53.6,41.5,65.6,28.34,600,6.3,2401202,82276,33491,0.0613,28948
1982,KY,0,0,0,1,0,0,0,0,2,0,0,1,250,55.7,44.9,66.5,46.32,700,10.825,3683445,40410,42184,0.0613,35182
1982,LA,0,0,0,1,0,0,0,0,1,0,0,1,100,66.5,56.1,76.9,66.38,2000,10.21666667,4352608,51840,78067,0.0613,45969
1982,MA,0,0,1,0,0,0,0,0,1,0,0,1,100,47.6,37.2,57.9,46.04,750,7.791666667,5771222,10555,83777,0.0613,#N/A
1982,MD,0,0,1,0,0,0,0,0,0,0,0,1,100,54.3,44.2,64.3,38.18,100,8.258333333,4282923,12407,56339,0.0613,57107
1982,ME,0,0,1,0,0,0,0,0,0,0,0,1,100,40.9,30.3,51.4,37.51,500,8.583333333,1136684,35385,12115,0.0613,11254
1982,MI,0,1,0,0,0,0,0,0,1,0,0,1,250,44.2,34.4,53.9,32.97,350,15.45833333,9115198,96716,115166,0.0613,105029
1982,MN,0,1,0,0,0,0,0,0,1,0,0,1,250,40.6,30.6,50.6,29.2,600,7.925,4131450,86938,57472,0.0613,#N/A
1982,MO,0,1,0,0,0,0,0,0,2,0,0,1,500,54.3,43.7,64.9,47.02,900,9.266666667,4929451,69704,60699,0.0613,54768
1982,MS,0,0,0,1,0,0,0,0,1,0,0,1,100,63.7,52.7,74.6,65.87,1200,11.00833333,2556777,48431,24614,0.0613,21046
